Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,,-9999
2,52,CLE,Jeremiah Owusu-Koramoah,LB,21,2023,0,1,1,18,18,41,0,0,0,0,0,0,0,0,0,0,0,166,2,5.0,Notre Dame,College Stats,OwusJe00
2,53,TEN,Dillon Radunz,T,23,2023,0,0,0,7,7,39,0,0,0,0,0,0,0,0,0,0,0,1,,,North Dakota St.,,RaduDi00
2,54,IND,Dayo Odeyingbo,DL,21,2023,0,0,0,7,7,44,0,0,0,0,0,0,0,0,0,0,0,45,,13.5,Vanderbilt,College Stats,OdeyDa00
2,55,PIT,Pat Freiermuth,TE,22,2023,0,0,0,13,13,44,0,0,0,0,0,0,0,0,155,1537,11,2,,,Penn St.,College Stats,FreiPa00
2,56,SEA,D'Wayne Eskridge,WR,24,2023,0,0,0,2,2,24,0,0,0,0,0,8,74,0,17,122,1,1,,,Western Michigan,College Stats,EskrDW00
2,57,LAR,Tutu Atwell,WR,21,2023,0,0,0,8,8,37,0,0,0,0,0,14,65,1,57,781,4,,,,Louisville,College Stats,AtweTu00
2,58,KAN,Nick Bolton,LB,21,2023,0,0,2,16,16,41,0,0,0,0,0,0,0,0,0,0,0,216,3,2.0,Missouri,College Stats,BoltNi00
2,59,CAR,Terrace Marshall Jr.,WR,21,2023,0,0,1,6,6,36,0,0,0,0,0,0,0,0,64,767,1,1,,,LSU,College Stats,MarsTe00
2,60,NOR,Pete Werner,LB,22,2023,0,0,1,18,18,43,0,0,0,0,0,0,0,0,0,0,0,152,1,0.5,Ohio St.,College Stats,WernPe00
2,61,BUF,Boogie Basham,DL,23,2023,0,0,0,4,3,36,0,0,0,0,0,0,0,0,0,0,0,25,1,4.5,Wake Forest,College Stats,BashCa00
2,62,GNB,Josh Myers,C,23,2023,0,0,1,20,20,40,0,0,0,0,0,0,0,0,0,0,0,,,,Ohio St.,College Stats,MyerJo00
